segment_id,mean_disp_mm,max_disp_mm,std_disp_mm,mean_coherence,low_coh_pct,n_pairs
1,-1.51,-32.639,2.388,0.685,0.0,5
2,-1.514,-32.639,2.767,0.655,0.0,5
3,-1.604,-32.639,3.05,0.645,0.0,5
4,-1.504,-29.435,3.924,0.578,0.0,5
5,-2.124,-22.113,4.541,0.552,0.0,5
6,-2.673,-22.113,5.275,0.521,40.0,5
7,-2.093,-9.67,5.609,0.504,20.0,5
8,-1.95,-28.339,5.078,0.511,0.0,5
9,-1.414,-31.437,4.677,0.527,20.0,5
10,-1.364,-22.052,5.598,0.48,20.0,5
11,-2.155,-17.054,6.539,0.442,40.0,5
12,-1.978,-18.499,6.486,0.469,40.0,5
13,-0.666,-18.499,6.088,0.458,40.0,5
14,-0.699,-20.386,5.971,0.466,40.0,5
15,-1.606,-17.844,6.248,0.431,40.0,5
16,-2.197,-11.151,7.563,0.372,40.0,5
17,-3.099,-6.997,8.172,0.394,40.0,5
18,-2.443,-8.12,7.704,0.476,40.0,5
19,-0.724,-8.139,7.934,0.468,40.0,5
20,0.641,-5.286,8.906,0.359,40.0,5
21,1.23,-19.521,8.677,0.34,40.0,5
22,1.538,-13.085,7.7,0.391,40.0,5
23,2.55,-12.24,7.191,0.431,20.0,5
24,3.171,-12.24,7.74,0.393,20.0,5
25,1.564,-14.161,8.91,0.365,40.0,5
26,-0.203,-16.117,8.78,0.397,40.0,5
27,-0.856,-16.117,7.975,0.404,20.0,5
28,-1.121,-19.388,6.564,0.41,40.0,5
29,-0.857,-12.827,5.701,0.452,40.0,5
30,-0.062,-12.827,5.73,0.473,40.0,5
31,0.076,-16.887,5.63,0.451,40.0,5
32,-0.117,-13.409,6.235,0.412,40.0,5
33,-0.817,-13.409,6.766,0.408,40.0,5
34,-1.317,-14.183,6.195,0.442,40.0,5
35,-1.227,-14.183,5.739,0.465,20.0,5
36,-1.753,-18.975,7.285,0.427,20.0,5
37,-1.259,-18.889,7.18,0.414,40.0,5
38,-1.236,-21.191,5.565,0.486,20.0,5
39,-1.988,-26.301,4.732,0.494,20.0,5
40,-1.305,-23.979,5.363,0.458,20.0,5
41,-0.193,-23.979,5.658,0.458,20.0,5
42,-0.994,-28.116,5.918,0.453,20.0,5
43,-1.377,-28.116,6.401,0.414,20.0,5
44,-0.862,-28.116,6.315,0.427,0.0,5
45,-0.553,-39.188,5.879,0.465,20.0,5
46,0.388,-34.212,5.338,0.464,20.0,5
47,-0.544,-34.212,5.506,0.496,20.0,5
48,-1.835,-34.212,5.244,0.515,40.0,5
49,-1.055,-43.142,5.582,0.524,40.0,5
50,-0.206,-43.344,5.8,0.496,40.0,5
51,-0.404,-43.344,5.962,0.484,20.0,5
52,-0.217,-47.93,4.671,0.522,0.0,5
53,-0.354,-53.392,3.392,0.546,0.0,5
54,-0.779,-53.04,4.03,0.523,0.0,5
55,-2.166,-53.04,6.309,0.488,0.0,5
56,-4.036,-67.381,6.544,0.475,0.0,5
57,-3.979,-64.566,6.732,0.446,0.0,5
58,-2.65,-64.566,6.692,0.456,20.0,5
59,-2.126,-66.118,6.349,0.483,20.0,5
60,-2.139,-54.896,6.349,0.484,20.0,5
61,-4.305,-54.896,7.673,0.44,20.0,5
62,-6.375,-70.157,7.019,0.419,40.0,5
63,-7.337,-68.034,7.542,0.41,20.0,5
64,-7.343,-68.034,7.889,0.381,40.0,5
65,-6.846,-76.605,7.772,0.377,60.0,5
66,-7.277,-76.821,7.18,0.386,20.0,5
67,-5.496,-54.193,7.951,0.4,20.0,5
68,-4.249,-54.193,8.481,0.384,40.0,5
69,-6.281,-64.793,7.087,0.461,0.0,5
70,-7.781,-64.793,4.536,0.591,0.0,5
71,-7.888,-86.241,3.823,0.642,0.0,5
72,-7.823,-87.481,4.155,0.646,0.0,5
73,-7.456,-82.011,5.301,0.564,0.0,5
74,-7.767,-80.494,5.767,0.487,20.0,5
75,-7.899,-74.46,5.281,0.498,0.0,5
76,-7.984,-79.335,5.294,0.519,0.0,5
77,-7.945,-76.432,4.39,0.559,0.0,5
78,-7.828,-75.695,3.525,0.591,0.0,5
79,-8.173,-73.343,4.297,0.533,0.0,5
80,-8.5,-73.343,6.386,0.456,0.0,5
81,-8.82,-66.878,7.577,0.376,60.0,5
82,-8.777,-66.878,7.591,0.373,60.0,5
83,-9.116,-68.935,6.615,0.413,40.0,5
84,-9.91,-63.404,7.079,0.394,40.0,5
85,-10.095,-63.404,7.939,0.361,60.0,5
86,-9.805,-60.986,6.974,0.419,20.0,5
87,-9.667,-60.986,6.538,0.465,0.0,5
88,-8.762,-63.713,7.049,0.434,20.0,5
89,-7.949,-74.04,6.965,0.394,40.0,5
90,-8.86,-67.329,7.095,0.399,20.0,5
91,-9.772,-50.022,6.982,0.425,20.0,5
92,-10.078,-50.022,6.32,0.456,20.0,5
93,-10.634,-51.599,6.964,0.402,20.0,5
94,-10.292,-51.599,8.109,0.387,20.0,5
95,-9.158,-69.67,8.279,0.4,20.0,5
96,-7.868,-72.621,7.86,0.394,20.0,5
97,-7.122,-76.967,7.312,0.422,0.0,5
98,-6.799,-77.161,8.373,0.379,20.0,5
99,-7.265,-70.997,10.378,0.311,40.0,5
100,-6.566,-66.354,11.047,0.292,60.0,5
101,-6.785,-66.354,10.565,0.311,60.0,5
102,-7.536,-82.631,9.047,0.347,40.0,5
103,-7.81,-82.631,6.986,0.416,0.0,5
104,-8.156,-85.745,6.064,0.442,0.0,5
105,-7.193,-87.666,7.766,0.381,40.0,5
106,-5.998,-87.666,9.982,0.332,40.0,5
107,-6.817,-95.336,9.326,0.319,60.0,5
108,-7.899,-109.572,9.452,0.31,60.0,5
109,-6.806,-107.809,8.918,0.321,60.0,5
110,-5.941,-98.628,8.014,0.347,40.0,5
111,-6.719,-98.628,7.688,0.364,20.0,5
112,-6.684,-107.376,7.556,0.364,0.0,5
113,-6.765,-107.376,8.894,0.35,40.0,5
114,-7.736,-117.285,10.012,0.317,40.0,5
115,-7.429,-125.206,9.281,0.321,60.0,5
116,-6.447,-133.182,7.947,0.42,0.0,5
117,-6.232,-144.554,6.293,0.468,0.0,5
118,-5.958,-140.35,6.865,0.466,0.0,5
119,-5.938,-140.35,6.998,0.452,0.0,5
120,-6.008,-141.665,5.305,0.461,0.0,5
121,-5.945,-144.897,4.646,0.49,0.0,5
122,-6.484,-143.113,5.542,0.466,0.0,5
123,-6.764,-130.623,7.797,0.369,20.0,5
124,-6.294,-130.623,7.714,0.378,20.0,5
125,-5.616,-130.909,5.448,0.46,0.0,5
126,-5.876,-132.971,6.459,0.472,0.0,5
127,-6.098,-149.746,6.234,0.466,0.0,5
128,-5.52,-149.09,6.296,0.448,0.0,5
129,-5.093,-140.056,7.29,0.381,20.0,5
130,-5.027,-129.582,7.545,0.366,60.0,5
131,-4.994,-141.993,6.954,0.397,0.0,5
132,-5.505,-138.385,6.671,0.423,0.0,5
133,-5.718,-125.413,8.382,0.356,40.0,5
134,-5.649,-125.413,8.573,0.337,40.0,5
135,-5.678,-121.9,7.104,0.4,20.0,5
136,-5.662,-121.147,6.369,0.385,20.0,5
137,-5.984,-121.147,5.971,0.412,0.0,5
138,-6.585,-121.147,5.286,0.435,0.0,5
139,-7.127,-108.931,7.852,0.347,20.0,5
140,-6.667,-103.769,9.214,0.316,40.0,5
141,-6.448,-103.769,8.9,0.329,40.0,5
142,-5.75,-107.698,9.327,0.325,40.0,5
143,-6.116,-100.835,10.073,0.309,40.0,5
144,-8.752,-100.835,11.046,0.308,40.0,5
145,-10.166,-115.571,10.029,0.305,60.0,5
146,-7.695,-105.163,9.799,0.339,40.0,5
147,-6.117,-105.163,9.164,0.37,40.0,5
148,-5.782,-114.828,9.52,0.321,60.0,5
149,-47.597,-118.775,11.831,0.222,40.0,5
150,,,,,0.0,5
151,,,,,0.0,5
152,,,,,0.0,5
153,,,,,0.0,5
154,,,,,0.0,5
155,,,,,0.0,5
156,,,,,0.0,5
157,,,,,0.0,5
158,,,,,0.0,5
159,,,,,0.0,5
160,,,,,0.0,5
161,,,,,0.0,5
162,,,,,0.0,5
163,,,,,0.0,5
164,,,,,0.0,5
165,,,,,0.0,5
166,,,,,0.0,5
167,,,,,0.0,5
168,,,,,0.0,5
169,,,,,0.0,5
170,,,,,0.0,5
171,,,,,0.0,5
172,,,,,0.0,5
173,,,,,0.0,5
174,,,,,0.0,5
175,,,,,0.0,5
176,,,,,0.0,5
177,,,,,0.0,5
178,,,,,0.0,5
179,,,,,0.0,5
180,,,,,0.0,5
181,,,,,0.0,5
182,,,,,0.0,5
183,,,,,0.0,5
184,,,,,0.0,5
185,,,,,0.0,5
186,,,,,0.0,5
187,,,,,0.0,5
188,,,,,0.0,5
189,,,,,0.0,5
190,,,,,0.0,5
191,,,,,0.0,5
192,,,,,0.0,5
193,,,,,0.0,5
194,,,,,0.0,5
195,,,,,0.0,5
196,,,,,0.0,5
197,,,,,0.0,5
198,,,,,0.0,5
199,,,,,0.0,5
200,,,,,0.0,5
201,,,,,0.0,5
202,,,,,0.0,5
203,,,,,0.0,5
204,,,,,0.0,5
205,,,,,0.0,5
206,,,,,0.0,5
207,,,,,0.0,5
208,,,,,0.0,5
209,,,,,0.0,5
210,,,,,0.0,5
211,,,,,0.0,5
212,,,,,0.0,5
213,,,,,0.0,5
214,,,,,0.0,5
215,,,,,0.0,5
216,,,,,0.0,5
217,,,,,0.0,5
218,,,,,0.0,5
219,,,,,0.0,5
220,,,,,0.0,5
221,,,,,0.0,5
222,,,,,0.0,5
223,,,,,0.0,5
224,,,,,0.0,5
225,,,,,0.0,5
226,,,,,0.0,5
227,,,,,0.0,5
228,,,,,0.0,5
229,,,,,0.0,5
230,,,,,0.0,5
231,,,,,0.0,5
232,,,,,0.0,5
233,,,,,0.0,5
234,,,,,0.0,5
235,,,,,0.0,5
236,,,,,0.0,5
237,,,,,0.0,5
238,,,,,0.0,5
239,,,,,0.0,5
240,,,,,0.0,5
241,,,,,0.0,5
242,,,,,0.0,5
243,,,,,0.0,5
244,,,,,0.0,5
245,,,,,0.0,5
246,,,,,0.0,5
247,,,,,0.0,5
248,,,,,0.0,5
249,,,,,0.0,5
250,,,,,0.0,5
251,,,,,0.0,5
252,,,,,0.0,5
253,,,,,0.0,5
254,,,,,0.0,5
255,,,,,0.0,5
256,,,,,0.0,5
257,,,,,0.0,5
258,,,,,0.0,5
259,,,,,0.0,5
260,,,,,0.0,5
261,,,,,0.0,5
262,,,,,0.0,5
263,,,,,0.0,5
264,,,,,0.0,5
265,,,,,0.0,5
266,,,,,0.0,5
267,,,,,0.0,5
268,,,,,0.0,5
269,,,,,0.0,5
270,,,,,0.0,5
271,,,,,0.0,5
272,,,,,0.0,5
273,,,,,0.0,5
274,,,,,0.0,5
275,,,,,0.0,5
276,,,,,0.0,5
277,,,,,0.0,5
278,,,,,0.0,5
279,,,,,0.0,5
280,,,,,0.0,5
281,,,,,0.0,5
282,,,,,0.0,5
283,,,,,0.0,5
284,,,,,0.0,5
285,,,,,0.0,5
286,,,,,0.0,5
287,,,,,0.0,5
288,,,,,0.0,5
289,,,,,0.0,5
290,,,,,0.0,5
291,,,,,0.0,5
292,,,,,0.0,5
293,,,,,0.0,5
294,,,,,0.0,5
295,,,,,0.0,5
296,,,,,0.0,5
297,,,,,0.0,5
298,,,,,0.0,5
299,,,,,0.0,5
300,,,,,0.0,5
301,,,,,0.0,5
302,,,,,0.0,5
303,,,,,0.0,5
304,,,,,0.0,5
305,,,,,0.0,5
306,,,,,0.0,5
307,,,,,0.0,5
308,,,,,0.0,5
309,,,,,0.0,5
310,,,,,0.0,5
311,,,,,0.0,5
312,,,,,0.0,5
313,,,,,0.0,5
314,,,,,0.0,5
315,,,,,0.0,5
316,,,,,0.0,5
317,,,,,0.0,5
318,,,,,0.0,5
319,,,,,0.0,5
320,,,,,0.0,5
321,,,,,0.0,5
322,,,,,0.0,5
323,,,,,0.0,5
324,,,,,0.0,5
325,,,,,0.0,5
326,,,,,0.0,5
327,,,,,0.0,5
328,,,,,0.0,5
329,,,,,0.0,5
330,,,,,0.0,5
331,,,,,0.0,5
332,,,,,0.0,5
333,,,,,0.0,5
334,,,,,0.0,5
335,,,,,0.0,5
336,,,,,0.0,5
337,,,,,0.0,5
338,,,,,0.0,5
339,,,,,0.0,5
340,,,,,0.0,5
341,,,,,0.0,5
342,,,,,0.0,5
